,TMK
2008-01-01,0.7
2008-01-02,-1.6
2008-01-03,1.1
2008-01-04,3.2
2008-01-05,6.3
2008-01-06,5
2008-01-07,7
2008-01-08,5.8
2008-01-09,5.4
2008-01-10,7.2
2008-01-11,10.7
2008-01-12,6.5
2008-01-13,4.5
2008-01-14,6.3
2008-01-15,8.8
2008-01-16,8.1
2008-01-17,6.9
2008-01-18,9.5
2008-01-19,12.2
2008-01-20,11.8
2008-01-21,9.6
2008-01-22,5.1
2008-01-23,4.7
2008-01-24,8.1
2008-01-25,4.8
2008-01-26,7.5
2008-01-27,7.6
2008-01-28,7.7
2008-01-29,5.1
2008-01-30,2.6
2008-01-31,3.4
2008-02-01,5.4
2008-02-02,2.1
2008-02-03,2.6
2008-02-04,5
2008-02-05,6.6
2008-02-06,7.9
2008-02-07,4.4
2008-02-08,6.8
2008-02-09,7.5
2008-02-10,5.2
2008-02-11,6.1
2008-02-12,4.8
2008-02-13,1.8
2008-02-14,2.2
2008-02-15,2.6
2008-02-16,-0.7
2008-02-17,0.9
2008-02-18,-0.5
2008-02-19,2.3
2008-02-20,4.5
2008-02-21,7
2008-02-22,9.4
2008-02-23,9.2
2008-02-24,8.9
2008-02-25,8.8
2008-02-26,10.7
2008-02-27,6.6
2008-02-28,6.5
2008-02-29,8.3
2008-03-01,9.1
2008-03-02,9.9
2008-03-03,6.4
2008-03-04,3.5
2008-03-05,2.1
2008-03-06,5.2
2008-03-07,7.5
2008-03-08,6.5
2008-03-09,8.6
2008-03-10,7.9
2008-03-11,8.5
2008-03-12,8.2
2008-03-13,7.7
2008-03-14,8.1
2008-03-15,8.5
2008-03-16,9.3
2008-03-17,5.1
2008-03-18,4.1
2008-03-19,4.3
2008-03-20,4.3
2008-03-21,3.6
2008-03-22,2.1
2008-03-23,0.7
2008-03-24,0.7
2008-03-25,1.4
2008-03-26,2.3
2008-03-27,5.5
2008-03-28,7.6
2008-03-29,9.4
2008-03-30,10.8
2008-03-31,10.4
2008-04-01,9.2
2008-04-02,8.6
2008-04-03,7.2
2008-04-04,7.1
2008-04-05,7
2008-04-06,4.6
2008-04-07,4.1
2008-04-08,5.2
2008-04-09,6.5
2008-04-10,6.1
2008-04-11,7.7
2008-04-12,9
2008-04-13,8.8
2008-04-14,7.3
2008-04-15,5.9
2008-04-16,4.4
2008-04-17,6.1
2008-04-18,8.6
2008-04-19,8.9
2008-04-20,11.3
2008-04-21,12.3
2008-04-22,12
2008-04-23,13.9
2008-04-24,13
2008-04-25,11.3
2008-04-26,13.2
2008-04-27,16.5
2008-04-28,12.1
2008-04-29,11.9
2008-04-30,13.3
2008-05-01,10.9
2008-05-02,10.8
2008-05-03,13
2008-05-04,14.3
2008-05-05,14.6
2008-05-06,16.8
2008-05-07,17.5
2008-05-08,17.6
2008-05-09,19.1
2008-05-10,20
2008-05-11,18.6
2008-05-12,18.5
2008-05-13,18.7
2008-05-14,19.5
2008-05-15,18.1
2008-05-16,NA
2008-05-17,NA
2008-05-18,NA
2008-05-19,NA
2008-05-20,NA
2008-05-21,NA
2008-05-22,NA
2008-05-23,NA
2008-05-24,NA
2008-05-25,NA
2008-05-26,NA
2008-05-27,NA
2008-05-28,NA
2008-05-29,NA
2008-05-30,NA
2008-05-31,NA
2008-06-01,NA
2008-06-02,NA
2008-06-03,NA
2008-06-04,NA
2008-06-05,NA
2008-06-06,NA
2008-06-07,NA
2008-06-08,NA
2008-06-09,NA
2008-06-10,NA
2008-06-11,NA
2008-06-12,NA
2008-06-13,NA
2008-06-14,NA
2008-06-15,NA
2008-06-16,NA
2008-06-17,15.3
2008-06-18,17.2
2008-06-19,17.4
2008-06-20,15.2
2008-06-21,17.6
2008-06-22,22.1
2008-06-23,16.8
2008-06-24,18
2008-06-25,18.9
2008-06-26,17.7
2008-06-27,17.8
2008-06-28,18.8
2008-06-29,17.6
2008-06-30,18.1
2008-07-01,21.2
2008-07-02,24.2
2008-07-03,17.9
2008-07-04,16.2
2008-07-05,18.6
2008-07-06,19.5
2008-07-07,16.9
2008-07-08,15.8
2008-07-09,15.6
2008-07-10,19.6
2008-07-11,17.3
2008-07-12,16.1
2008-07-13,15.7
2008-07-14,16.4
2008-07-15,18.7
2008-07-16,16.8
2008-07-17,14.5
2008-07-18,15.6
2008-07-19,17.4
2008-07-20,13.8
2008-07-21,12.4
2008-07-22,15.4
2008-07-23,16.2
2008-07-24,19.7
2008-07-25,22.2
2008-07-26,21.5
2008-07-27,22.4
2008-07-28,24.2
2008-07-29,22.7
2008-07-30,23.1
2008-07-31,24.3
2008-08-01,22.5
2008-08-02,19.4
2008-08-03,19.9
2008-08-04,18.4
2008-08-05,18.3
2008-08-06,22.7
2008-08-07,21.9
2008-08-08,17.4
2008-08-09,17.6
2008-08-10,18.7
2008-08-11,18.4
2008-08-12,18.7
2008-08-13,16.8
2008-08-14,16.8
2008-08-15,16
2008-08-16,16.4
2008-08-17,18.6
2008-08-18,18.4
2008-08-19,19.1
2008-08-20,17.4
2008-08-21,18.3
2008-08-22,16.4
2008-08-23,14.2
2008-08-24,15.8
2008-08-25,16.8
2008-08-26,18.1
2008-08-27,17
2008-08-28,17.6
2008-08-29,18.3
2008-08-30,18.8
2008-08-31,21.6
2008-09-01,18.2
2008-09-02,17.6
2008-09-03,13.8
2008-09-04,14.6
2008-09-05,16.4
2008-09-06,17.4
2008-09-07,16.2
2008-09-08,16
2008-09-09,18.5
2008-09-10,19.6
2008-09-11,20.7
2008-09-12,15.9
2008-09-13,13.5
2008-09-14,11.9
2008-09-15,11.5
2008-09-16,11.8
2008-09-17,11.7
2008-09-18,9.8
2008-09-19,10.2
2008-09-20,10.7
2008-09-21,10.3
2008-09-22,10.7
2008-09-23,11.8
2008-09-24,12.9
2008-09-25,11.8
2008-09-26,12.3
2008-09-27,11.4
2008-09-28,12.1
2008-09-29,10.4
2008-09-30,11
2008-10-01,12.3
2008-10-02,9.8
2008-10-03,8.1
2008-10-04,9.1
2008-10-05,11.1
2008-10-06,12.4
2008-10-07,15.3
2008-10-08,13.8
2008-10-09,10.1
2008-10-10,11.3
2008-10-11,14
2008-10-12,13.3
2008-10-13,16.2
2008-10-14,15
2008-10-15,14.1
2008-10-16,10.6
2008-10-17,8.5
2008-10-18,8.5
2008-10-19,10
2008-10-20,12.9
2008-10-21,11.7
2008-10-22,7.8
2008-10-23,7.8
2008-10-24,9.3
2008-10-25,10.6
2008-10-26,12
2008-10-27,8.9
2008-10-28,5.5
2008-10-29,4.2
2008-10-30,4.1
2008-10-31,4
2008-11-01,7.2
2008-11-02,10.9
2008-11-03,8.6
2008-11-04,7.7
2008-11-05,10.1
2008-11-06,9.9
2008-11-07,8.7
2008-11-08,10
2008-11-09,10.3
2008-11-10,13.8
2008-11-11,11.2
2008-11-12,8
2008-11-13,7.8
2008-11-14,7.9
2008-11-15,10.3
2008-11-16,9.3
2008-11-17,4.6
2008-11-18,6.5
2008-11-19,8.1
2008-11-20,9.1
2008-11-21,4.5
2008-11-22,1.2
2008-11-23,0.9
2008-11-24,0.5
2008-11-25,1.4
2008-11-26,3.1
2008-11-27,4.9
2008-11-28,2.5
2008-11-29,1.8
2008-11-30,1.8
2008-12-01,3.9
2008-12-02,3.5
2008-12-03,1.6
2008-12-04,2.8
2008-12-05,6.1
2008-12-06,5.4
2008-12-07,4.6
2008-12-08,1.9
2008-12-09,1.1
2008-12-10,2.4
2008-12-11,1.7
2008-12-12,0.9
2008-12-13,0.1
2008-12-14,3.5
2008-12-15,2.1
2008-12-16,2.4
2008-12-17,0.7
2008-12-18,4
2008-12-19,5.8
2008-12-20,7.2
2008-12-21,8.4
2008-12-22,7.7
2008-12-23,4.6
2008-12-24,5.9
2008-12-25,3.9
2008-12-26,-0.6
2008-12-27,-2.8
2008-12-28,-3.5
2008-12-29,-4.3
2008-12-30,-4.1
2008-12-31,-4
